date,open,high,low,close,volume,average,barCount
2000-01-03,36.5,36.58,34.82,35.3,870000.0,35.3,1
2000-01-04,34.5,34.66,33.9,34.08,1380000.0,34.08,1
2000-01-05,34.14,35.46,33.9,34.64,995000.0,34.64,1
2000-01-06,34.9,36.08,34.54,36.08,915000.0,36.08,1
2000-01-07,36.6,36.96,36.1,36.4,1000000.0,36.4,1
2000-01-10,36.9,37.76,36.12,36.26,1010000.0,36.26,1
2000-01-11,35.8,35.96,35.3,35.58,720000.0,35.58,1
2000-01-12,35.5,35.68,34.72,34.9,515000.0,34.9,1
2000-01-13,35.2,35.46,35.02,35.2,610000.0,35.2,1
2000-01-14,35.6,35.7,34.02,34.02,1340000.0,34.02,1
2000-01-18,34.08,34.38,33.8,34.0,1370000.0,34.0,1
2000-01-19,34.1,34.26,33.54,34.18,880000.0,34.18,1
2000-01-20,34.18,34.68,34.0,34.0,810000.0,34.0,1
2000-01-21,34.0,34.26,33.88,34.22,705000.0,34.22,1
2000-01-24,34.7,34.8,33.76,34.0,660000.0,34.0,1
2000-01-25,33.9,34.46,33.8,34.06,620000.0,34.06,1
2000-01-26,34.16,34.48,34.0,34.14,530000.0,34.14,1
2000-01-27,34.14,34.4,33.72,33.92,470000.0,33.92,1
2000-01-28,33.8,33.86,33.08,33.2,980000.0,33.2,1
2000-01-31,33.24,33.66,32.92,32.92,1115000.0,32.92,1
2000-02-01,33.32,33.56,33.06,33.5,525000.0,33.5,1
2000-02-02,33.3,33.36,32.7,32.8,1035000.0,32.8,1
2000-02-03,33.0,33.48,33.0,33.4,600000.0,33.4,1
2000-02-04,33.54,33.66,33.0,33.1,620000.0,33.1,1
2000-02-07,32.98,33.4,32.82,33.28,770000.0,33.28,1
2000-02-08,32.9,33.1,32.6,32.7,1035000.0,32.7,1
2000-02-09,32.26,32.76,31.54,31.76,1760000.0,31.76,1
2000-02-10,31.9,31.96,30.0,30.96,2220000.0,30.96,1
2000-02-11,31.2,31.36,29.7,30.14,2525000.0,30.14,1
2000-02-14,29.5,29.58,28.32,28.48,2710000.0,28.48,1
2000-02-15,30.4,30.8,30.02,30.64,2290000.0,30.64,1
2000-02-16,31.34,34.0,31.2,33.28,2215000.0,33.28,1
2000-02-17,34.0,34.18,32.1,33.26,970000.0,33.26,1
2000-02-18,33.18,33.72,31.0,33.72,1005000.0,33.72,1
2000-02-22,32.6,32.66,32.0,32.4,820000.0,32.4,1
2000-02-23,32.4,32.58,32.0,32.32,610000.0,32.32,1
2000-02-24,32.1,32.1,30.4,30.78,745000.0,30.78,1
2000-02-25,30.88,30.94,29.6,29.8,1770000.0,29.8,1
2000-02-28,29.7,29.76,29.04,29.2,2220000.0,29.2,1
2000-02-29,29.6,29.62,28.7,28.8,1895000.0,28.8,1
2000-03-01,28.74,29.46,28.74,29.34,1105000.0,29.34,1
2000-03-02,29.4,29.58,29.04,29.36,710000.0,29.36,1
2000-03-03,29.6,29.94,29.2,29.38,720000.0,29.38,1
2000-03-06,29.0,29.4,28.68,28.9,885000.0,28.9,1
2000-03-07,29.1,29.22,28.54,29.0,950000.0,29.0,1
2000-03-08,29.04,29.04,28.5,28.78,1005000.0,28.78,1
2000-03-09,28.5,28.54,27.72,28.0,1800000.0,28.0,1
2000-03-10,27.84,28.3,27.02,27.4,2135000.0,27.4,1
2000-03-13,29.0,30.12,28.94,29.76,1720000.0,29.76,1
2000-03-14,29.56,29.84,29.0,29.1,1005000.0,29.1,1
2000-03-15,29.44,32.9,29.4,32.52,1630000.0,32.52,1
2000-03-16,32.9,34.26,32.88,34.04,2370000.0,34.04,1
2000-03-17,34.08,36.6,33.6,34.0,2115000.0,34.0,1
2000-03-20,34.06,34.56,33.1,33.56,935000.0,33.56,1
2000-03-21,33.36,36.04,33.3,35.86,1275000.0,35.86,1
2000-03-22,35.98,36.36,35.4,36.06,845000.0,36.06,1
2000-03-23,36.04,36.66,35.34,35.48,645000.0,35.48,1
2000-03-24,35.88,36.48,35.54,35.98,545000.0,35.98,1
2000-03-27,36.1,36.12,33.96,34.2,530000.0,34.2,1
