date,close,open,high,low,volume
2018-01-19,1721.6,1731.2,1751.68,1716.48,134.375
2018-01-22,1697.92,1697.92,1698.56,1697.92,3.125
2018-01-23,1724.8,1708.8,1724.8,1708.8,37.5
2018-01-24,1770.24,1784.96,1785.6,1770.24,26.5625
2018-01-25,1770.24,1770.24,1770.24,1770.24,0.0
2018-01-26,1770.24,1770.24,1770.24,1770.24,0.0
2018-01-29,1893.12,1868.8,1893.12,1868.8,14.0625
2018-01-30,1955.2,1970.56,2035.84,1951.36,576.96875
2018-01-31,1961.6,1917.44,1963.52,1917.44,135.46875
2018-02-01,1863.04,1929.6,1929.6,1850.88,158.125
2018-02-02,2102.4,1922.56,2131.2,1921.92,432.171875
2018-02-05,2807.04,2172.16,2839.68,2088.32,806.25
2018-02-06,2759.68,2944.0,3718.4,2759.04,152.578125
2018-02-07,2850.56,2799.36,2885.76,2682.24,404.25
2018-02-08,3531.52,2907.52,3531.52,2903.04,1502.8125
2018-02-09,3217.92,3182.08,3609.6,3136.0,582.40625
2018-02-12,3107.2,3089.92,3205.12,3072.0,156.6875
2018-02-13,3070.08,3123.84,3139.84,3046.4,357.453125
2018-02-14,2718.72,3028.48,3029.12,2708.48,1209.53125
2018-02-15,2656.0,2625.92,2741.76,2616.32,187.109375
2018-02-16,2695.68,2700.8,2735.36,2595.84,242.8125
2018-02-20,2805.76,2764.8,2859.52,2744.96,615.40625
2018-02-21,2848.0,2778.24,2850.56,2629.12,1578.53125
2018-02-22,2810.88,2767.36,2848.64,2739.2,686.84375
2018-02-23,2591.36,2721.28,2743.04,2590.08,463.28125
2018-02-26,2513.92,2516.48,2528.64,2476.8,39.0625
2018-02-27,2714.24,2506.88,2727.68,2506.88,968.75
2018-02-28,2826.24,2644.48,2837.12,2636.8,153.125
2018-03-01,3020.8,2804.48,3156.48,2804.48,693.359375
2018-03-02,2887.68,3179.52,3233.28,2887.68,557.8125
2018-03-05,2781.44,2942.08,2942.08,2754.56,123.96875
2018-03-06,2796.16,2759.68,2880.64,2759.68,309.375
2018-03-07,2754.56,2848.0,2848.0,2753.92,50.0
2018-03-08,2725.76,2725.12,2726.4,2725.12,28.125
